Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
274	0.68	0.15	4.91	511	70	40	4454.37	605.2	370.28	57	63	75	1.913	2.60868	{'ott_len': 64, 'ott_percent': 128, 'ott_bw_up': 104, 'ott_bw_down': 151, 'tps_qty_index': 109, 'max_risk_long': 60, 'max_risk_short': 25}
277	1.39	1.33	4.01	146	12	14	1825.91	97.43	124.02	60	67	93	2.243	1.53027	{'ott_len': 64, 'ott_percent': 128, 'ott_bw_up': 135, 'ott_bw_down': 151, 'tps_qty_index': 82, 'max_risk_long': 60, 'max_risk_short': 25}
279	1.59	2.33	3.62	108	5	13	1316.73	40.67	111.91	57	80	77	2.513	1.02734	{'ott_len': 52, 'ott_percent': 102, 'ott_bw_up': 144, 'ott_bw_down': 110, 'tps_qty_index': 33, 'max_risk_long': 61, 'max_risk_short': 30}
284	0.87	1.9	3.62	143	12	14	1555.61	99.27	126.11	55	67	79	2.13	1.38935	{'ott_len': 53, 'ott_percent': 130, 'ott_bw_up': 144, 'ott_bw_down': 169, 'tps_qty_index': 42, 'max_risk_long': 57, 'max_risk_short': 30}
298	0.71	3.49	3.72	569	75	39	5941.52	734.26	348.08	51	55	67	2.64	1.67538	{'ott_len': 24, 'ott_percent': 130, 'ott_bw_up': 144, 'ott_bw_down': 169, 'tps_qty_index': 66, 'max_risk_long': 68, 'max_risk_short': 46}
301	1.87	1.93	3.51	346	36	26	7594.2	319.26	237.76	59	61	69	2.437	0.93002	{'ott_len': 53, 'ott_percent': 115, 'ott_bw_up': 117, 'ott_bw_down': 108, 'tps_qty_index': 67, 'max_risk_long': 59, 'max_risk_short': 32}
307	1.75	1.01	2.64	580	69	39	14680.49	570.08	339.91	55	51	59	1.8	0.81615	{'ott_len': 64, 'ott_percent': 130, 'ott_bw_up': 115, 'ott_bw_down': 112, 'tps_qty_index': 37, 'max_risk_long': 57, 'max_risk_short': 55}
311	1.29	3.34	3.65	200	19	18	2430.01	177.68	163.49	55	58	72	2.76	1.28246	{'ott_len': 49, 'ott_percent': 159, 'ott_bw_up': 158, 'ott_bw_down': 144, 'tps_qty_index': 19, 'max_risk_long': 67, 'max_risk_short': 36}
312	1.1	1.98	3.6	321	23	19	3945.57	179.86	167.95	58	61	74	2.227	1.26812	{'ott_len': 59, 'ott_percent': 92, 'ott_bw_up': 134, 'ott_bw_down': 97, 'tps_qty_index': 104, 'max_risk_long': 63, 'max_risk_short': 48}
317	1.73	1.5	3.67	439	52	30	8785.93	482.23	270.75	55	60	63	2.3	1.19202	{'ott_len': 64, 'ott_percent': 90, 'ott_bw_up': 91, 'ott_bw_down': 124, 'tps_qty_index': 66, 'max_risk_long': 60, 'max_risk_short': 46}
319	1.74	0.13	3.21	256	32	21	4610.75	261.79	192.02	59	47	76	1.693	1.54053	{'ott_len': 58, 'ott_percent': 128, 'ott_bw_up': 125, 'ott_bw_down': 168, 'tps_qty_index': 11, 'max_risk_long': 60, 'max_risk_short': 25}
326	1.64	2.3	3.11	186	11	20	2612.47	90.45	174.18	57	64	60	2.35	0.73627	{'ott_len': 49, 'ott_percent': 128, 'ott_bw_up': 160, 'ott_bw_down': 110, 'tps_qty_index': 19, 'max_risk_long': 67, 'max_risk_short': 32}
330	0.37	2.23	2.59	38	1	2	344.62	7.88	15.97	63	100	100	1.73	1.19147	{'ott_len': 64, 'ott_percent': 90, 'ott_bw_up': 158, 'ott_bw_down': 96, 'tps_qty_index': 109, 'max_risk_long': 60, 'max_risk_short': 28}
331	1.02	1.9	3.47	151	13	14	1786.18	106.41	124.2	51	62	79	2.13	1.24109	{'ott_len': 52, 'ott_percent': 130, 'ott_bw_up': 144, 'ott_bw_down': 153, 'tps_qty_index': 66, 'max_risk_long': 56, 'max_risk_short': 25}
349	1.21	0.59	3.9	170	14	13	2120.85	111.51	116.68	56	50	92	1.9	1.75957	{'ott_len': 64, 'ott_percent': 130, 'ott_bw_up': 133, 'ott_bw_down': 169, 'tps_qty_index': 16, 'max_risk_long': 60, 'max_risk_short': 35}
